"Setting","Value"
"WakeOnLAN","ACOnly"
"WakeOnLANDock","Enable"
"EthernetLANOptionROM","Enable"
"IPv4NetworkStack","Enable"
"IPv6NetworkStack","Enable"
"UefiPxeBootPriority","IPv4First"
"WiGigWake","Disable"
"WirelessAutoDisconnection","Disable"
"MACAddressPassThrough","Disable"
"USBBIOSSupport","Enable"
"AlwaysOnUSB","Enable"
"TrackPoint","Automatic"
"TouchPad","Automatic"
"FnCtrlKeySwap","Disable"
"FnSticky","Disable"
"FnKeyAsPrimary","Disable"
"BootDisplayDevice","LCD"
"SharedDisplayPriority","DockDisplay"
"TotalGraphicsMemory","256MB"
"BootTimeExtension","Disable"
"SpeedStep","Disable"
"AdaptiveThermalManagementAC","MaximizePerformance"
"AdaptiveThermalManagementBattery","Balanced"
"CPUPowerManagement","Automatic"
"OnByAcAttach","Disable"
"PasswordBeep","Disable"
"KeyboardBeep","Enable"
"AMTControl","Enable"
"USBKeyProvisioning","Disable"
"LockBIOSSetting","Disable"
"MinimumPasswordLength","Disable"
"BIOSPasswordAtUnattendedBoot","Enable"
"BIOSPasswordAtReboot","Disable"
"BIOSPasswordAtBootDeviceList","Disable"
"PasswordCountExceededError","Enable"
"FingerprintPredesktopAuthentication","Enable"
"FingerprintReaderPriority","External"
"FingerprintSecurityMode","Normal"
"FingerprintPasswordAuthentication","Enable"
"SecurityChip","Enable"
"TXTFeature","Disable"
"PhysicalPresenceForTpmProvision","Disable"
"PhysicalPresenceForTpmClear","Disable"
"BIOSUpdateByEndUsers","Enable"
"SecureRollBackPrevention","Enable"
"WindowsUEFIFirmwareUpdate","Enable"
"DataExecutionPrevention","Enable"
"VirtualizationTechnology","Enable"
"VTdFeature","Enable"
"EthernetLANAccess","Enable"
"WirelessLANAccess","Enable"
"WirelessWANAccess","Enable"
"BluetoothAccess","Enable"
"USBPortAccess","Enable"
"MemoryCardSlotAccess","Enable"
"SmartCardSlotAccess","Enable"
"IntegratedCameraAccess","Enable"
"MicrophoneAccess","Enable"
"FingerprintReaderAccess","Enable"
"NfcAccess","Enable"
"WiGig","Enable"
"BottomCoverTamperDetected","Disable"
"InternalStorageTamper","Disable"
"ComputraceModuleActivation","Enable"
"SecureBoot","Enable"
"SGXControl","SoftwareControl"
"DeviceGuard","Disable"
"BootMode","Quick"
"StartupOptionKeys","Enable"
"BootDeviceListF12Option","Enable"
"BootOrder","NVMe0:USBHDD:USBCD:USBFDD:HDD1:HDD0:PCILAN"
"NetworkBoot","PCILAN"
"BootOrderLock","Disable"
